Sample_ID;Temperature;pH;Salinity;Turbidity;Dissolved_Oxygen;Nitrate;Chlorophyll_a;nutrient_index;pH_deviation;Rainfall_last_7_days_mm;Distance_to_pollution_source_km;Water_depth_m;Current_velocity_m_s;Phosphate_concentration_mg_L;BOD_mg_L;Distance_to_coast_km;Seagrass_or_algae_cover;is_safe
WQ00018;28.41;8.42;31.38;35.83;1.39;19.93;90.15;1796.6895;1.42;;5.49;120.616;0.995;0.0094;6.273;47.194;Medium;0
WQ00019;14.24;6.88;37.78;31.15;0;24.05;75.8;1822.99;0.12;34.947;13.38;49.859;0.444;0.4089;3.512;26.292;Medium;0
WQ00020;21.68;8.67;31.56;14.12;0.78;24.51;91.92;2252.9592;1.67;73.422;9.264;66.876;1.428;0.0602;3.885;8.553;Medium;0
WQ00021;15.8;7.77;38.75;7.04;0.93;20.22;73.41;1484.3502;0.77;16.739;1.912;65.328;0.66;0.4978;7.449;46.542;High;0
WQ00022;11.68;5.647562481;37.39;13.93;11.83;2.54;26.09;66.2686;1.35;35.057;45.511;66.646;0.65;0.3876;5.726;17.22;Low;1
WQ00023;14.42;7.3;32.04;44.4;4.55;14.98;67.26;1007.5548;0.3;43.963;0.907;135.247;1.02;0.2921;6.849;25.897;Medium;0
WQ00024;23.26;6.68;37.99;18.18;0.66;22.62;93.23;2108.8626;0.32;54.728;36.936;107.1;1.154;0.0815;2.004;50.75;Low;0
WQ00025;12.89;7.62;33.99;16.13;14.44;0;23.59;0;0.62;94.221;8.031;78.314;0.719;0.2601;7.976;97.374;Low;1
WQ00026;25.49;7.96;35.32;9.57;8.63;6.43;26.33;169.3019;0.96;23.961;45.655;31.52;0.329;0.1342;3.544;68.457;High;1
WQ00027;28.18;7.82;37.72;38.97;7.32;9.85;47.87;471.5195;0.82;;44.693;;1.162;0.1299;6.389;28.034;High;1
WQ00028;24.58;7.17;37.61;47.21;0.9;17.4;91.98;1600.452;0.17;71.09;32.868;;0.487;0.4156;1.589;38.302;Medium;0
WQ00029;15.85;7.38;36.23;22.28;11.75;2.08;18.24;37.9392;0.38;5.574;33.776;23.279;0.271;0.1934;3.553;40.673;Medium;1
WQ00030;28.08;7.27;35.92;34.2;2.04;21.78;82.79;1803.1662;0.27;72.905;0.764;157.518;0.951;0.2281;6.664;15.448;High;0
WQ00031;31.17;7.65;33.98;42.08;10.49;0.6;11.47;6.882;0.65;20.463;49.251;24.275;0.145;0.4223;3.105;16.149;High;1
WQ00032;17.43;6.68;31.92;45.61;10.63;4;17.93;71.72;0.32;7.806;43.953;145.397;1.457;0.0485;8.863;14.925;Medium;1
WQ00033;11.24;8.69;31.87;14.21;1.75;23.32;95.56;2228.4592;1.69;113.866;44.808;78.36;0.952;0.2993;6.782;52.214;Medium;0
WQ00034;24.51;7.74;30.07;42.26;2.17;18.99;80.45;1527.7455;0.74;115.876;33.133;16.529;1.479;0.2912;8.768;67.451;Low;0
WQ00035;24.31;8.19;37.97;7.88;0.13;24.6;96.17;2365.782;1.19;97.008;17.567;;0.515;0.2155;4.256;59.113;Medium;0
WQ00036;;7.68;34.2;33.03;7.43;3.82;25.84;98.7088;0.68;36.554;44.736;116.767;1.457;0.4157;0.823;97.779;High;1
WQ00037;14.03;8.818009886;36.54;7.05;9.98;0;19.42;0;0.8;11.721;14.93;48.681;0.227;0.4717;5.973;12.675;Low;1
WQ00038;26.76;7.03;33.34;15.64;4.9;17.86;65.99;1178.5814;0.03;82.108;28.354;179.147;0.071;0.2353;3.722;98.649;Low;0
WQ00039;17;8.7;37.89;36.34;10.7;3.47;27.5;95.425;1.7;52.818;5.437;10.961;0.059;0.2308;4.758;46.721;Low;1
WQ00040;26.95;8.38;33.98;24.04;3.61;11.69;63.77;745.4713;1.38;14.645;46.137;41.96;0.703;0.2535;6.971;21.941;Low;0
WQ00041;23.35;8.2;37.76;39.66;3.06;21.99;78.87;1734.3513;1.2;59.421;7.468;150.905;0.134;0.3629;7.156;94.334;Low;0
WQ00042;13.51;8.59;36.35;25.45;1.49;22.14;80.36;1779.1704;1.59;4.127;11.632;142.457;0.773;0.3357;0.762;46.914;Low;0
WQ00043;25.37;7.23;31.28;7.83;2.18;22;91.33;2009.26;0.23;109.118;28.128;59.276;0.498;0.1153;7.808;34.8;High;0
WQ00044;24.29;7.06;39.22;13.65;3.07;23.07;97.22;2242.8654;0.06;31.054;38.323;14.281;0.51;0.0366;5.188;21.46;High;0
WQ00045;11.74;7.77;35.04;3.34;9.79;4.14;23.83;98.6562;0.77;79.503;31.158;171.899;0.957;0.4749;5.789;26.861;Medium;1
WQ00046;13.24;6.73;32.98;40;11.55;0.68;10.72;7.2896;0.27;37.405;11.991;64.112;0.253;0.1342;3.331;97.924;High;1
WQ00047;29.28;6.54;37.32;46.69;13.43;1.71;13.98;23.9058;0.46;62.408;0.547;40.751;1.152;0.3211;4.498;30.467;High;1
WQ00048;12.92;8;30.32;5.54;10.61;;27.12;65.088;1;65.605;37.979;104.18;0.877;0.4151;7.249;97.783;Medium;1
WQ00049;14.49;6.8;34.92;28.49;11.93;0.24;16.2;3.888;0.2;22.183;49.268;182.225;1.373;0.1536;7.879;33.088;Low;1
WQ00050;26.15;8.62;32.52;18.08;11.54;4;20.98;83.92;1.62;116.35;40.591;10.622;0.554;0.3195;4.178;23.219;High;1
WQ00051;25.98;7.27;30.7;21.17;0.57;22.69;87.82;1992.6358;0.27;93.016;23.28;153.629;1.474;0.0584;7.066;18.418;High;0
WQ00052;;8.59;36.27;33.69;4.17;16.77;71.58;1200.3966;1.59;112.74;45.236;115.35;0.868;0.4851;2.951;41.244;Low;0
WQ00053;22.86;8.31;39.12;22.91;1.65;20.43;96.56;1972.7208;1.31;107.379;20.787;86.239;1.46;0.0338;8.404;23.757;Low;0
WQ00054;17.07;8.42;30.98;45.74;13.79;2.56;20.84;53.3504;1.42;71.748;26.484;149.328;0.05;0.2219;6.293;69.724;High;1
WQ00055;27.18;7.26;33.94;43.44;4.83;16.95;69.13;1171.7535;0.26;110.625;24.118;193.233;1.095;0.2707;7.864;24.053;Low;0
WQ00056;;7.44;37.63;24.05;10.76;1.74;19;33.06;0.44;10.619;22.657;47.383;1.227;0.3963;5.033;83.556;High;1
WQ00057;26.73;6.92;30.41;31.15;11.56;1.13;23.58;26.6454;0.08;23.518;38.872;30.442;0.089;0.065;2.677;83.418;Low;1
WQ00058;30.4;7.8;33.17;14.32;3.1;15.13;70.67;1069.2371;0.8;5.427;26.575;182.751;0.873;0.2232;4.578;28.624;Medium;0
WQ00059;16.02;8.35;30.8;31.78;1.14;21.67;80.14;1736.6338;1.35;39.04;16.177;134.453;1.205;0.1534;4.124;75.379;High;0
WQ00060;66.60736717;6.59;39.82;0.87;4.13;16.65;68.57;1141.6905;0.41;46.641;13.279;88.721;0.846;0.1594;3.661;85.769;Low;0
WQ00061;29.93;8.23;30.23;40.7;14.1;4.42;27.78;122.7876;1.23;32.562;2.368;115.505;0.105;0.3905;2.516;59.054;Low;1
WQ00062;27.8;8.18;34.86;14.42;9.01;4.56;33.01;150.5256;1.18;99.449;29.368;149.632;1.043;0.0077;7.712;36.697;Medium;1
WQ00063;10.17;7.13;34.72;42.33;4.51;12.46;66.74;831.5804;0.13;42.81;11.883;155.06;0.1;0.3758;1.32;44.153;Low;0
WQ00064;30.85;7.7;30.81;14.07;11.98;4.02;18.97;76.2594;0.7;33.712;7.833;184.139;1.228;0.4061;8.932;78.644;Low;1
WQ00065;;8.77;30.62;11.99;1.43;24.47;90.83;2222.6101;1.77;65.124;32.865;86.515;0.074;0.4512;2.163;29.402;Low;0
WQ00066;15.44;7.92;35.3;27.12;0;18.05;79.95;1443.0975;0.92;16.911;34.22;;0.215;0.3153;9.809;33.513;High;0
WQ00067;;6.68;39.18;24.17;1.62;22.68;81.23;1842.2964;0.32;96.264;37.732;128.654;0.42;0.1701;9.89;16.162;Medium;0
WQ00068;21.19;7.67;31.17;19.82;7.17;7.72;55.97;432.0884;0.67;8.946;25.427;84.314;0.954;0.2165;4.285;39.965;Medium;1
WQ00069;59.50952917;8.15;35.38;40.76;4.28;17.43;67.4;1174.782;1.15;118.426;44.756;119.73;1.465;0.485;9.884;8.743;Medium;0
WQ00070;20.29;7.46;38.52;48.97;0.8;18.89;93.21;1760.7369;0.46;92.669;46.849;85.157;0.186;0.4412;8.756;32.171;High;0
WQ00071;15.29;8.05;38.26;33.82;13.65;2.65;10;26.5;1.05;23.846;40.465;32.293;0.223;0.2344;1.283;37.411;Low;1
WQ00072;15.57;6.55;36.55;27.89;1.55;24.99;86.2;2154.138;0.45;0.663;31.962;94.946;0.56;0.4718;9.5;25.622;High;0
WQ00073;18.84;7.29;37.67;40.55;1.1;22.02;77.82;1713.5964;0.29;97.855;15.534;138.802;1.256;0.4124;0.904;10.226;Medium;0
WQ00074;24.5;7.99;32.61;40.58;13.37;0.8;13.92;11.136;0.99;84.823;49.156;160.258;0.706;0.451;2.228;52.215;Medium;1
WQ00075;8.736259675;8.31;34.01;21.02;7.88;8.1;36.4;294.84;1.31;87.481;14.07;99.679;0.489;0.3431;6.054;86.522;Medium;0
WQ00076;20.27;7.47;36.52;16.5;2.94;23.45;81.71;1916.0995;0.47;92.552;10.532;34.717;0.846;0.4295;1.267;33.631;High;0
WQ00077;15.54;6.97;31.86;30.86;1.95;18.63;86.12;1604.4156;0.03;8.885;22.387;84.108;0.398;0.4464;2.036;23.756;High;0
WQ00078;-5.404118412;6.88;36.85;17.12;12.91;1.64;10;16.4;0.12;43.016;3.314;157.686;0.608;0.0505;9.558;28.575;Low;1
WQ00079;;8.33;38.84;8.38;1.48;21.05;91.29;1921.6545;1.33;13.904;48.935;83.746;0.506;0.4828;9.95;86.203;High;0
WQ00080;23.68;6.73;31.81;30.86;12.25;0;20.76;0;0.27;103.572;29.627;139.913;1.208;0.1701;8.082;52.828;Low;1
WQ00081;23.82;8.68;34.54;22.98;1.53;20.91;84.78;1772.7498;1.68;74.796;28.069;102.428;1.387;0.2228;5.394;13.166;Low;0
WQ00082;17.23;8.02;39.95;1.76;14.81;0;15.76;0;1.02;39.708;32.962;49.762;1.142;0.397;9.053;70.951;Low;1
WQ00083;64.18737789;7.87;39.9;1.77;14.25;3.79;10.67;40.4393;0.87;7.627;25.103;159.638;0.664;0.3341;1.563;15.521;Medium;1
WQ00084;26.65;8.29;30.14;7.62;11.89;;16.39;35.8941;1.29;37.318;2.087;18.674;0.761;0.4471;9.457;6.118;Low;1
WQ00085;31.17;8.23;40;19.75;3.74;15.29;70.08;1071.5232;1.23;39.022;30.809;;0.196;0.2033;3.84;25.643;High;0
WQ00086;10.18;7.4;39.03;29.38;5.82;12.76;67.72;864.1072;0.4;87.553;35.951;43.36;1.123;0.1898;8.684;16.892;High;0
WQ00087;11.94;7.83;38.72;21.33;11.14;7.57;17.79;134.6703;0.83;76.507;21.129;15.279;0.899;0.0207;6.85;60.539;Medium;1
WQ00088;30.64;7.54;37.45;48.66;4.27;17.62;65.44;1153.0528;0.54;106.466;37.986;101.581;1.355;0.234;9.623;48.508;Medium;0
WQ00089;27.56;6.73;38;6.45;8.51;7.63;32.87;250.7981;0.27;56.666;11.737;100.913;0.309;0.3634;8.714;72.434;Medium;1
WQ00090;13.01;6.96;34.08;20.74;11.7;0.59;10;5.9;0.04;14.351;11.453;141.966;1.142;0.1541;8.935;51.206;High;1
WQ00091;25.16;7.39;36.31;32.17;9.93;6.03;21.82;131.5746;0.39;85.589;8.49;149.461;1.03;0.234;6.502;41.959;High;1
WQ00092;30.17;6.52;31.97;11.17;9.98;0.86;15.36;13.2096;0.48;91.294;18.914;146.103;0.406;0.1136;8.415;52.669;Low;1
WQ00093;16.16;8.43;33.03;42.87;0.61;22.09;71.06;1569.7154;1.43;67.353;42.427;83.093;1.004;0.3875;7.693;43.505;High;0
WQ00094;13.15;6.97;38.88;17.16;0.7;25;83.96;2099;0.03;92.516;41.482;127.075;1.387;0.035;2.035;3.805;Medium;0
WQ00095;16.5;6.86;37.36;33.8;0;17.85;89.92;1605.072;0.14;59.255;19.45;116.235;1.378;0.3542;6.662;68.102;Low;0
WQ00096;16.61;8.25;38.88;27.07;0.66;21.15;88.09;1863.1035;1.25;62.728;29.661;85.469;1.082;0.1926;1.908;96.217;Low;0
WQ00097;20.54;7.99;35.35;3.42;8.97;2.17;30.02;65.1434;0.99;51.305;36.18;;0.082;0.0256;8.76;42.261;Medium;1
WQ00098;22.25;8.65;36.96;28.72;10.52;1.55;26.28;40.734;1.65;3.05;12.44;189.555;1.31;0.4275;1.127;42.431;Low;1
WQ00099;;7.92;38.71;23.17;11.18;6.46;16.9;109.174;0.92;12.947;8.823;40.193;0.99;0.2464;9.877;4.672;Medium;1
WQ00100;16.59;8.47;35.06;47.85;6.67;11.41;47.19;538.4379;1.47;3.772;48.619;181.343;0.473;0.3017;4.306;89.049;Medium;1
WQ00101;25.58;8.42;31.22;40.6;12.95;2.35;16.41;38.5635;1.42;76.369;31.069;12.584;0.289;0.3674;2.121;92.919;Medium;1
WQ00102;21.81;6.66;33.95;5.99;4.54;16.59;57.47;953.4273;0.34;37.723;49.08;63.061;0.183;0.3293;9.389;81.333;High;0
WQ00103;25.33;7.87;34.6;18.54;6.41;10.39;52.14;541.7346;0.87;61.028;17.219;59.053;0.085;0.3668;0.932;10.724;Medium;1
WQ00104;17.69;8.26;39.65;13.31;0.95;-21.47;88.45;1899.0215;1.26;108.908;35.3;126.02;1.134;0.3823;4.966;90.032;Medium;0
WQ00105;26.1;7.87;31.3;15.55;4.21;17.08;62.83;1073.1364;0.87;29.915;11.519;;0.361;0.2966;7.817;2.493;Low;0
WQ00106;25.64;8.44;35.57;14.56;2.03;22.04;85.75;1889.93;1.44;49.246;13.429;176.705;0.046;0.186;3.509;44.513;Low;0
WQ00107;16.56;7.87;37.76;1.79;3.7;17.54;76.34;1339.0036;0.87;90.666;25.839;166.053;0.602;0.1254;5.524;50.112;Medium;0
WQ00108;27.27;6.76;35.16;37.2;1.98;20.44;88.43;1807.5092;0.24;27.456;16.321;131.109;0.729;0.4519;7.154;83.417;Low;0
WQ00109;28.71;7.03;34.8;32.55;11.51;1.8;14.66;26.388;0.03;9.238;8.797;92.766;0.262;0.4851;9.544;75.111;High;1
WQ00110;14.31;8.26;30.24;19.09;7.73;2.94;26.67;78.4098;1.26;34.77;13.513;186.725;0.076;0.182;1.476;79.73;High;1
WQ00111;22.56;8.28;39.28;13.43;11.67;0.97;22.71;22.0287;1.28;19.347;2.27;166.488;0.292;0.0606;1.994;86.803;Low;1
WQ00112;;8.57;35.81;6.6;6.49;10.52;43.71;459.8292;1.57;111.564;35.369;100.864;1.022;0.1152;5.334;47.659;Low;1
WQ00113;26.39;6.79;31.04;35.65;11.94;2.66;15.39;40.9374;0.21;96.974;24.86;140.971;0.133;0.337;4.476;78.047;Low;1
WQ00114;24.43;8.6;30.93;13.54;16.28;3.03;23.23;70.3869;1.6;76.008;5.165;114.252;0.837;0.0906;4.403;6.897;Low;1
WQ00115;27.51;7.8;37.96;8.17;13.9;3.59;22.85;82.0315;0.8;104.575;8.999;118.413;0.228;0.3912;3.321;44.51;Low;1
WQ00116;24.14;8.38;35.33;8.16;3.54;16.78;58.41;980.1198;1.38;96.441;5.575;67.533;0.302;0.4619;5.827;3.11;High;0
WQ00117;20.52;8.16;32.39;15.91;0.92;18.64;91.97;1714.3208;1.16;22.388;30.823;93.493;0.596;0.482;8.891;91.54;Medium;0
WQ00118;30.56;7.49;35.39;22.58;13.52;1.76;14.75;25.96;0.49;107.107;5.163;17.468;0.16;0.0096;2.029;95.846;Low;1
WQ00119;10.89;7.19;31.88;3.81;3.08;15.58;67.8;1056.324;0.19;64.721;37.837;72.755;0.268;0.4793;2.545;8.486;Medium;0
WQ00120;23.54;7.29;30.71;11.08;13.05;0;17.35;0;0.29;96.893;1.515;139.774;0.53;0.3714;6.873;53.309;Low;1
WQ00121;29.23;8.55;32.09;2.45;1.15;24.15;88.74;2143.071;1.55;107.531;12.844;190.737;0.501;0.0466;1.034;32.581;Medium;0
WQ00122;15.06;8.1;37.31;20.86;3.25;15.49;72.41;1121.6309;1.1;38.16;44.588;192.687;1.126;0.2105;6.901;34.319;Low;0
WQ00123;21.88;7.12;36.96;15.13;1.4;18.61;88.94;1655.1734;0.12;13.206;36.067;112.033;0.121;0.3515;3.487;45.125;Low;0
WQ00124;11.42;7.37;37.8;14.16;3.96;25;97.52;2438;0.37;27.352;4.112;122.111;1.292;0.4786;3.9;12.594;High;0
WQ00125;23.28;7.53;30.37;31.56;1.87;17.59;77.71;1366.9189;0.53;51.253;41.146;38.773;1.226;0.0862;4.353;18.159;High;0
WQ00126;25.08;8.74;30.57;7.38;7.94;8.6;39.56;340.216;1.74;98.162;24.905;139.671;1.151;0.0682;3.821;57.779;High;1
WQ00127;30.39;7.29;36.61;25.09;6.8;8.54;43.79;373.9666;0.29;103.288;42.416;15.99;0.471;0.2388;8.491;1.974;High;0
WQ00128;29.46;8.02;38.98;16.15;4.92;15.89;73.39;1166.1671;1.02;0.834;30.237;58.368;1.236;0.4842;9.488;60.02;Low;0
WQ00129;31.61;8.31;35.32;43.04;12.76;1.46;28.23;41.2158;1.31;61.29;34.251;134.336;0.282;0.4858;5.706;31.96;High;1
WQ00130;26.8;6.81;30.89;45.45;9.96;8.47;27.72;234.7884;0.19;50.089;49.678;63.441;0.195;0.1178;6.028;83.237;Medium;1
WQ00131;22.16;7.5;32.02;31.4;3.58;15.24;60.22;917.7528;0.5;26.653;12.001;11.87;0.077;0.1631;1.17;60.041;High;0
WQ00132;17.44;7.46;30.98;46.11;0.85;22.29;98.14;2187.5406;0.46;14.384;31.385;166.71;1.41;0.4545;7.275;70.838;Medium;0
WQ00133;13.72;7.88;36.33;31.14;7.12;8.6;40.16;345.376;0.88;40.514;23.286;63.445;0.469;0.3687;6.049;11.531;Medium;0
WQ00134;11.71;8.34;38.64;2.74;3.6;15.91;77.88;1239.0708;1.34;113.149;2.453;14.495;1.377;0.4863;0.979;26.66;Low;0
WQ00135;16.64;7.14;36.76;14.53;4.29;14.61;66.42;970.3962;0.14;38.784;1.216;16.808;0.416;0.4471;2.385;99.667;High;0
WQ00136;23.18;7.52;31.46;27.9;14.98;2.06;26.34;54.2604;0.52;62.255;6.402;51.848;1.362;0.1115;2.418;43.422;High;1
WQ00137;27.8;8.3;32.15;35.92;14;1.35;15.59;21.0465;1.3;84.362;32.63;37.247;1.357;0.3811;2.124;35.951;Medium;1
WQ00138;11.7;7.67;32.89;17.27;0.28;21.84;95.93;2095.1112;0.67;43.636;28.575;155.311;1.386;0.029;6.757;87.398;Medium;0
WQ00139;24.23;7.15;35.33;6.66;10.87;2.69;10;26.9;0.15;;27.895;65.693;0.749;0.4098;9.32;3.404;High;1
WQ00140;30.59;6.8;36.68;10.69;5;19.09;59.08;1127.8372;0.2;115.494;2.077;;1.3;0.3028;7.748;53.524;Medium;0
WQ00141;30.13;7.48;36.54;2.15;12.9;2.22;17.68;39.2496;0.48;30.214;23.73;36.422;1.427;0.4783;5.035;21.105;Low;1
WQ00142;13.42;8.2;33.22;34.02;4.59;13.44;70.63;949.2672;1.2;59.67;46.269;99.59;0.494;0.4802;4.338;36.878;High;0
WQ00143;18.15;8.75;32.26;21.02;2.3;19.05;87.8;1672.59;1.75;36.105;20.181;138.231;0.634;0.0302;4.171;20.058;Low;0
WQ00144;24.54;7.3;30.98;49.03;10.5;2.31;15.71;36.2901;0.3;34.181;31.434;131.094;1.082;0.0845;6.212;3.878;Low;1
WQ00145;30.73;8.51;32.43;34.38;0.83;22.12;89.93;1989.2516;1.51;4.426;39.101;121.024;0.458;0.2447;3.913;41.71;High;0
WQ00146;12.51;6.68;31.74;27.35;6.99;9.89;45.9;453.951;0.32;73.148;39.304;185.115;1.133;0.4403;2.648;78.941;High;0
WQ00147;24.17;6.55;37.25;2.26;12.26;5.94;18.82;111.7908;0.45;60.321;26.204;47.248;0.12;0.4082;6.227;95.2;Medium;1
WQ00148;9.840850974;7.62;32.59;4.88;4.39;15.42;71.31;1099.6002;0.62;6.177;42.969;99.756;0.79;0.4824;4.212;62.423;Low;0
WQ00149;19.15;6.71;31.96;27.45;7.92;;32.33;118.0045;0.29;33.438;19.873;177.031;0.192;0.311;0.634;38.945;High;1
WQ00150;23.62;8.29;35.37;3.09;4.84;14.59;67.47;984.3873;1.29;108.992;44.49;17.423;0.447;0.132;0.711;77.009;High;0
WQ00151;14.56;8.52;35.19;30.89;3.71;13.69;60.94;834.2686;1.52;28.747;12.391;13.066;0.395;0.0174;3.104;50.572;Low;0
WQ00152;15.22;7.74;32.99;42.65;8.23;8.79;38.07;334.6353;0.74;17.387;14.371;48.194;1.26;0.1153;5.368;36.825;Medium;0
WQ00153;11.86;7.4;37.93;29.81;0.29;18.81;87.74;1650.3894;0.4;58.734;3.129;127.338;0.298;0.3393;3.865;17.991;High;0
WQ00154;24.78;6.76;38.61;24.3;9.3;6.95;32.08;222.956;0.24;118.278;39.881;53.456;1.215;0.4635;0.729;79.633;Low;1
WQ00155;27.91;6.52;32.24;35.44;12.28;;20.31;22.9503;0.48;29.047;21.144;39.667;1.193;0.1638;2.62;50.093;Low;1
WQ00156;17.98;8.35;33.28;10.85;11.22;1.51;19.44;29.3544;1.35;80.656;11.841;;0.753;0.4385;1.416;96.384;Medium;1
WQ00157;53.42188085;8;36.61;14.15;3.03;19.36;86.09;1666.7024;1;91.394;11.974;123.492;0.358;0.2005;9.512;80.211;High;0
WQ00158;31.12;7.92;35.57;21.08;11.81;1.47;22.58;33.1926;0.92;28.517;45.119;51.214;0.348;0.1576;3.472;42.06;Low;1
WQ00159;10.77;6.92;35.93;23.44;5.22;15.71;78.12;1227.2652;0.08;87.386;41.779;61.537;0.703;0.2569;0.64;74.111;Medium;0
WQ00160;12.12;7.12;34.83;47.9;14.97;;15.36;54.528;0.12;44.134;27.9;;0.023;0.2239;6.775;45.394;High;1
WQ00161;23.61;7.31;38.63;6.96;1.64;20.1;87.96;1767.996;0.31;75.877;30.997;189.256;0.802;0.4573;2.708;8.079;High;0
WQ00162;28.23;7.06;30.81;1.94;3.41;15.75;63.57;1001.2275;0.06;76.024;23.979;;1.43;0.2368;5.884;51.716;High;0
WQ00163;;7.83;39.56;11.96;11.94;4.39;19.67;86.3513;0.83;64.293;19.887;157.015;0.241;0.1423;1.932;86.586;High;1
WQ00164;10.88;8.44;34.22;23.77;2.91;18.69;78.86;1473.8934;1.44;10.835;45.816;74.628;0.864;0.4221;9.848;85.559;High;0
WQ00165;24.55;7.36;31.29;11.35;4.01;-14.7;63.02;926.394;0.36;100.236;6.718;;1.443;0.4994;9.717;57.539;Medium;0
WQ00166;24.33;6.97;32.16;46.45;13.2;3.54;16.63;58.8702;0.03;38.494;21.213;91.945;1.292;0.3258;6.732;38.064;Low;1
WQ00167;23.17;6.8;36.81;9.26;3.61;14.73;72.32;1065.2736;0.2;22.382;17.556;;1.277;0.129;7.218;1.109;Medium;0
WQ00168;21.57;7.79;30.66;12.91;14.25;4.53;22.69;102.7857;0.79;4.893;25.158;92.347;1.235;0.1232;4.546;31.21;Low;1
WQ00169;21.43;7.72;37.07;16.51;8.41;3.79;24.88;94.2952;0.72;70.907;23.153;169.652;0.47;0.0336;9.641;98.982;Medium;1
WQ00170;24.23;8.06;32.37;20.28;3.94;12.66;68.92;872.5272;1.06;81.308;26.185;197.777;1.337;0.0433;4.526;72.676;High;0
WQ00171;11.93522563;7.99;35.48;24.22;12.22;3.77;24.03;90.5931;0.99;1.991;7.426;16.261;1.413;0.4579;2.775;71.787;Medium;1
WQ00172;12.83;8.06;38.43;10.47;11.57;1.86;22.92;42.6312;1.06;61.451;25.901;10.991;0.749;0.0528;1.596;76.132;Low;1
WQ00173;;7.2;38.14;44.7;3.57;20.87;89.2;1861.604;0.2;;12.5;;0.538;0.2448;2.477;62.049;High;0
WQ00174;16.68;8.14;39.62;36.98;3.01;18.14;76.09;1380.2726;1.14;77.421;9.624;78.105;0.627;0.3506;5.936;58.627;Low;0
WQ00175;23.51437149;6.95;30.88;31.24;1.65;21.91;86.16;1887.7656;0.05;20.924;3.709;27.946;0.508;0.4259;2.828;45.417;High;0
WQ00176;23.06;8.28;38.28;8.94;16.25;1.8;16.39;29.502;1.28;82.913;38.251;174.392;0.327;0.0898;6.715;44.449;High;1
WQ00177;27.59;7.62;36.62;3.74;4.94;15.1;80.17;1210.567;0.62;;21.658;6.583;0.931;0.2217;4.131;87.098;High;0
WQ00178;28.7;7.17;39.52;2.97;9.03;5.24;32.67;171.1908;0.17;112.408;31.519;64.527;0.848;0.1295;8.925;39.406;Low;1
